time,vwap,ema9,ema21,ema50,ema200,atr,adx,rsi,volume,vix,regime,setup,signal,score
2025-06-04 03:45:00,0.0,24591.75,24591.75,24591.75,24591.75,40.4,20.0,50.0,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 03:46:00,0.0,24593.43,24592.51,24593.43,24592.51,31.28,20.0,100.0,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 03:47:00,0.0,24593.06,24592.43,24593.06,24592.43,25.97,20.0,49.56,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 03:48:00,0.0,24593.86,24592.85,24593.86,24592.85,24.76,20.0,61.83,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 03:49:00,0.0,24589.58,24591.0,24589.58,24591.0,25.48,20.0,29.47,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 03:50:00,0.0,24588.08,24590.19,24588.08,24590.19,24.88,20.0,41.48,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 03:51:00,0.0,24588.71,24590.28,24588.71,24590.28,23.27,20.0,49.58,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 03:52:00,0.0,24589.74,24590.6,24589.74,24590.6,22.28,20.0,51.54,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 03:53:00,0.0,24589.16,24590.26,24589.16,24590.26,21.27,20.0,46.75,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 03:54:00,0.0,24588.16,24589.71,24588.16,24589.71,19.75,20.0,45.13,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 03:55:00,0.0,24588.84,24589.87,24588.84,24589.87,19.52,20.0,49.88,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 03:56:00,0.0,24591.95,24591.19,24591.95,24591.19,19.04,20.0,56.43,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 03:57:00,0.0,24595.11,24592.7,24595.11,24592.7,18.26,20.0,57.87,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 03:58:00,0.0,24594.14,24592.48,24594.14,24592.48,18.54,20.0,49.37,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 03:59:00,0.0,24589.94,24590.72,24589.94,24590.72,16.94,20.0,43.18,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:00:00,0.0,24586.21,24588.95,24586.21,24588.95,16.43,20.0,38.88,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:01:00,0.0,24582.8,24587.15,24582.8,24587.15,16.26,20.0,40.9,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:02:00,0.0,24580.77,24585.84,24580.77,24585.84,15.18,20.0,39.95,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:03:00,0.0,24577.04,24583.68,24577.04,24583.68,14.27,20.0,45.18,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:04:00,0.0,24573.76,24581.58,24573.76,24581.58,13.27,20.0,39.18,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:05:00,0.0,24569.07,24578.74,24569.07,24578.74,13.31,20.0,29.63,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:06:00,0.0,24568.01,24577.38,24568.01,24577.38,13.24,20.0,36.49,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:07:00,0.0,24567.01,24576.07,24567.01,24576.07,12.76,20.0,38.65,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:08:00,0.0,24563.77,24573.78,24563.77,24573.78,13.24,20.0,35.44,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:09:00,0.0,24561.93,24572.03,24561.93,24572.03,13.3,20.0,33.35,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:10:00,0.0,24561.71,24571.01,24561.71,24571.01,12.9,20.0,29.1,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:11:00,0.0,24560.24,24569.5,24560.24,24569.5,12.94,20.0,25.14,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:12:00,0.0,24558.83,24568.02,24558.83,24568.02,11.84,20.0,29.65,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:13:00,0.0,24556.93,24566.32,24556.93,24566.32,11.21,20.0,34.7,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:14:00,0.0,24556.32,24565.19,24556.32,24565.19,10.91,20.0,39.15,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:15:00,0.0,24555.22,24563.88,24555.22,24563.88,10.6,20.0,38.75,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:16:00,0.0,24555.95,24563.42,24555.95,24563.42,11.03,20.0,41.96,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:17:00,0.0,24555.81,24562.68,24555.81,24562.68,10.38,20.0,45.66,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:18:00,0.0,24553.96,24561.22,24553.96,24561.22,10.49,20.0,41.81,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:19:00,0.0,24551.89,24559.61,24551.89,24559.61,10.19,20.0,45.74,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:20:00,0.0,24550.35,24558.21,24550.35,24558.21,9.61,20.0,35.11,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:21:00,0.0,24546.67,24555.83,24546.67,24555.83,10.15,20.0,29.9,0.0,15.0,Checklist,Checklist Setup,HOLD,2
2025-06-04 04:22:00,0.0,24546.27,24554.81,24546.27,24554.81,10.17,20.0,46.05,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:23:00,0.0,24546.08,24553.95,24546.08,24553.95,9.35,20.0,43.8,0.0,15.0,Checklist,Checklist Setup,HOLD,3
2025-06-04 04:24:00,0.0,24547.75,24553.99,24547.75,24553.99,9.48,20.0,45.87,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:25:00,0.0,24551.17,24554.98,24551.17,24554.98,9.63,20.0,56.44,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:26:00,0.0,24554.09,24555.96,24554.09,24555.96,9.52,20.0,57.75,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:27:00,0.0,24554.8,24556.11,24554.8,24556.11,9.44,20.0,54.85,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:28:00,0.0,24558.68,24557.76,24558.68,24557.76,9.94,20.0,60.42,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:29:00,0.0,24561.97,24559.34,24561.97,24559.34,9.6,20.0,62.69,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:30:00,0.0,24564.47,24560.71,24564.47,24560.71,9.0,20.0,58.88,0.0,15.0,Checklist,Checklist Setup,HOLD,4
2025-06-04 04:31:00,0.0,24567.1,24562.25,24567.1,24562.25,8.98,20.0,62.75,0.0,15.0,Checklist,Checklist Setup,HOLD,5
2025-06-04 04:32:00,0.0,24570.37,24564.18,24570.37,24564.18,8.81,20.0,71.76,0.0,15.0,Checklist,Checklist Setup,HOLD,5
