scrip,std,score,ending_balance,realized_pnl,total_trades,win_rate,max_drawdown
NSE|NIFTY 50,1.5,4,100144.58,144.58,21,47.6,0.0
NSE|NIFTY 50,1.5,5,96810.9,-3189.1,12,33.3,3.19
NSE|NIFTY 50,1.5,6,98377.86,-1622.14,1,0.0,1.62
NSE|NIFTY 50,2.0,4,103176.55,3176.55,20,45.0,0.0
NSE|NIFTY 50,2.0,5,95808.02,-4191.98,10,20.0,4.19
NSE|NIFTY 50,2.0,6,98377.86,-1622.14,1,0.0,1.62
NSE|NIFTY 50,2.5,4,103334.01,3334.01,20,45.0,0.0
NSE|NIFTY 50,2.5,5,96442.86,-3557.14,8,12.5,3.56
NSE|NIFTY 50,2.5,6,98377.86,-1622.14,1,0.0,1.62
NSE|NIFTY BANK,1.5,4,97292.66,-2707.34,19,26.3,0.0
NSE|NIFTY BANK,1.5,5,100156.57,156.57,5,40.0,8.7
NSE|NIFTY BANK,1.5,6,95650.03,-4349.97,6,16.7,4.35
NSE|NIFTY BANK,2.0,4,108979.44,8979.44,39,46.2,0.0
NSE|NIFTY BANK,2.0,5,103122.12,3122.12,4,50.0,5.73
NSE|NIFTY BANK,2.0,6,98016.97,-1983.03,5,20.0,1.98
NSE|NIFTY BANK,2.5,4,115641.81,15641.81,40,47.5,0.0
NSE|NIFTY BANK,2.5,5,103254.76,3254.76,4,50.0,5.6
NSE|NIFTY BANK,2.5,6,98645.02,-1354.98,4,25.0,1.35
NSE|NIFTY FINANCIAL SERVICES,1.5,4,95153.61,-4846.39,13,38.5,0.0
NSE|NIFTY FINANCIAL SERVICES,1.5,5,96766.19,-3233.81,7,14.3,0.0
NSE|NIFTY FINANCIAL SERVICES,1.5,6,97338.55,-2661.45,2,0.0,0.0
NSE|NIFTY FINANCIAL SERVICES,2.0,4,92739.31,-7260.69,14,28.6,0.32
NSE|NIFTY FINANCIAL SERVICES,2.0,5,93550.42,-6449.58,8,12.5,0.0
NSE|NIFTY FINANCIAL SERVICES,2.0,6,99170.24,-829.76,1,0.0,0.0
NSE|NIFTY FINANCIAL SERVICES,2.5,4,92973.51,-7026.49,14,28.6,0.08
NSE|NIFTY FINANCIAL SERVICES,2.5,5,93626.22,-6373.78,8,12.5,0.0
NSE|NIFTY FINANCIAL SERVICES,2.5,6,99246.04,-753.96,1,0.0,0.0
BSE|SENSEX,1.5,4,100108.25,108.25,21,38.1,0.0
BSE|SENSEX,1.5,5,101761.67,1761.67,13,53.8,0.0
BSE|SENSEX,1.5,6,100000.0,0.0,0,0.0,0.0
BSE|SENSEX,2.0,4,100724.66,724.66,21,47.6,0.0
BSE|SENSEX,2.0,5,101368.2,1368.2,11,63.6,0.0
BSE|SENSEX,2.0,6,100000.0,0.0,0,0.0,0.0
BSE|SENSEX,2.5,4,100039.25,39.25,19,42.1,0.0
BSE|SENSEX,2.5,5,100773.59,773.59,9,55.6,0.0
BSE|SENSEX,2.5,6,100000.0,0.0,0,0.0,0.0
